INCIDENT_MONTH,TIME_OF_DAY,PHASE_OF_FLIGHT,ALTITUDE_GROUP,DISTANCE_GROUP,SPECIES,SIZE_CLEAN,NUM_STRUCK,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,FAAREGION,STATE,SKY_CLEAN,Damage_Binary
1,Day,Climb,0-500 ft,0 NM,Unknown bird - small,Small,2-10,A,2.0,A,2.0,ANE,MA,No Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Barn swallow,Small,1,A,4.0,D,2.0,ASO,FL,No Cloud,0
1,Night,Approach,0-500 ft,0-5 NM,Wilson's snipe,Small,2-10,A,4.0,D,3.0,ANM,WA,Some Cloud,1
1,Day,Climb,0-500 ft,Unknown,Unknown bird,Unknown,1,A,4.0,D,2.0,ASW,TX,No Cloud,0
1,Day,Climb,0-500 ft,Unknown,Tree swallow,Small,1,A,4.0,D,2.0,ASO,FL,Unknown,0
1,Day,Approach,Unknown,Unknown,Red-winged blackbird,Small,1,A,4.0,D,2.0,ASW,TX,Some Cloud,0
1,Day,Landing Roll,0-500 ft,0 NM,Northern harrier,Medium,1,A,4.0,D,2.0,ASW,OK,Some Cloud,0
1,Day,Approach,0-500 ft,0-5 NM,Unknown bird - medium,Medium,1,A,1.0,A,1.0,AWP,CA,No Cloud,0
1,Day,Approach,Unknown,Unknown,Northern shoveler,Medium,1,A,3.0,D,2.0,ANM,UT,Some Cloud,0
1,Day,Climb,0-500 ft,Unknown,European starling,Small,1,A,1.0,A,1.0,ASO,FL,Overcast,0
1,Day,Approach,0-500 ft,0-5 NM,Unknown bird,Unknown,1,A,4.0,D,2.0,ASW,TX,Overcast,0
1,Day,Take-off Run,0-500 ft,0 NM,Gulls,Medium,1,A,1.0,A,1.0,ANM,WA,Overcast,1
1,Day,Landing Roll,0-500 ft,0 NM,Zenaida dove,Small,1,A,4.0,D,2.0,ASO,PR,No Cloud,0
1,Day,Take-off Run,0-500 ft,0 NM,Red-tailed hawk,Medium,1,A,4.0,D,2.0,ANM,OR,Overcast,0
1,Day,Approach,"501-1,500 ft",Unknown,Unknown bird - medium,Medium,1,A,4.0,D,2.0,AEA,MD,Some Cloud,0
