model_name,split,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
Logistic Regression,valid,0.5,0.8133100334935197,0.24205061648280338,0.7659137577002053,0.3678500986193294,0.8598668838065566,0.45702773277699177
Decision Tree,valid,0.5,0.8428717052570264,0.26582278481012656,0.6899383983572895,0.3837806967447173,0.83074031399458,0.4046366802880835
RandomForest,valid,0.5,0.8280180573758555,0.25666199158485276,0.7515400410677618,0.3826450601150026,0.8613491532187985,0.45201552257750316
Logistic Regression,test,0.5,0.8222066876383549,0.2482152663371774,0.7422003284072249,0.3720164609053498,0.8566849856450542,0.4140639548939543
Decision Tree,test,0.5,0.8394500757310963,0.2633846153846154,0.7027914614121511,0.38316920322291853,0.8297525249342793,0.38908796987453426
RandomForest,test,0.5,0.8382849819410463,0.26293365794278756,0.7093596059113301,0.3836589698046181,0.860577768552393,0.41819368598587986
