category,total_count,damage_count,damage_rate,overall_damage_rate,risk_lift,min_count_pass
20-50 NM,476,53,0.11134453781512606,0.07093090993825003,1.5697604600315815,True
5-20 NM,3687,383,0.1038784919989151,0.07093090993825003,1.4645024586509334,True
0-5 NM,7466,775,0.10380391106348781,0.07093090993825003,1.463450999766616,True
Unknown,11277,791,0.07014276846679081,0.07093090993825003,0.988888603400896,True
0 NM,19986,1037,0.05188632042429701,0.07093090993825003,0.7315050726046997,True
50+ NM,23,5,0.21739130434782608,0.07093090993825003,3.0648317431297487,False
