feature,importance
SIZE_CLEAN,0.6391107121275251
AC_MASS,0.12327464299618476
SPECIES,0.06922086390842147
DISTANCE_GROUP,0.04767403443982183
PHASE_OF_FLIGHT,0.033984017284105196
NUM_STRUCK,0.01668210304867974
STATE,0.01556628846590285
ALTITUDE_GROUP,0.015515892714453253
INCIDENT_MONTH,0.013355584365046417
FAAREGION,0.010814103158585634
SKY_CLEAN,0.009909799827262068
TIME_OF_DAY,0.0028105247514060823
NUM_ENGS,0.0018631931013661793
TYPE_ENG,0.00021823981123918006
AC_CLASS,0.0
