INCIDENT_MONTH,total_count,damage_count,damage_rate
1,1395,182,0.13046594982078852
2,1401,168,0.11991434689507495
3,2163,258,0.11927877947295423
4,3099,269,0.08680219425621168
5,4344,229,0.05271639042357274
6,3244,161,0.049630086313193586
7,4856,228,0.04695222405271829
8,6016,312,0.05186170212765957
9,6169,355,0.05754579348354676
10,5610,337,0.06007130124777184
11,2998,334,0.1114076050700467
12,1620,211,0.13024691358024693
