INCIDENT_MONTH,total_count,damage_count,damage_rate
1,47,7,0.14893617021276595
2,57,3,0.05263157894736842
3,67,7,0.1044776119402985
4,39,3,0.07692307692307693
5,45,1,0.022222222222222223
6,47,3,0.06382978723404255
7,58,4,0.06896551724137931
8,134,6,0.04477611940298507
9,123,6,0.04878048780487805
10,90,6,0.06666666666666667
11,53,9,0.16981132075471697
12,46,2,0.043478260869565216
