category,total_count,damage_count,damage_rate,overall_damage_rate,risk_lift,min_count_pass
B,239,47,0.19665271966527198,0.07093090993825003,2.7724544889734384,True
,175,28,0.16,0.07093090993825003,2.255716162943495,True
A,42500,2969,0.06985882352941176,0.07093090993825003,0.9848854834969467,True
J,1,0,0.0,0.07093090993825003,0.0,False
