category,total_count,damage_count,damage_rate,overall_damage_rate,risk_lift,min_count_pass
"10,000 ft+",219,48,0.2191780821917808,0.07093090993825003,3.0900221410184865,True
"501-1,500 ft",3915,478,0.12209450830140485,0.07093090993825003,1.7213159736382355,True
"1,501-3,500 ft",3713,403,0.10853757069754916,0.07093090993825003,1.5301872031817745,True
"3,501-10,000 ft",2604,239,0.09178187403993855,0.07093090993825003,1.2939616046070836,True
0-500 ft,22317,1300,0.05825155710893041,0.07093090993825003,0.8212436180452524,True
Unknown,10147,576,0.05676554646693604,0.07093090993825003,0.8002935041486727,True
